,Date,Open,High,Low,Close,Volume,Market Cap(USD)
247,2018-04-05,650.59705437,653.77626987,623.07689209,642.61403811,46978.97874567,30189351.23809302
246,2018-04-04,707.96581829,708.77961069,640.85812485,650.39344495,61823.67543387,40209713.24479375
245,2018-04-03,664.62584462,715.97858236,662.67834384,708.87622781,51012.50666911,36161553.29881355
244,2018-04-02,642.41945536,683.24455614,639.36312929,664.85195321,47666.28949395,31691025.67251845
243,2018-04-01,689.19030762,700.26483053,630.37825327,639.75948329,70545.41967461,45132101.2392272
242,2018-03-31,696.07130144,735.03220114,687.0017795,688.51826409,54317.39294248,37398517.09855776
241,2018-03-30,719.07656286,766.36346942,676.23944819,697.08507962,95824.46872043,66797807.40747955
240,2018-03-29,864.09406894,870.18465679,706.43127022,722.15994301,108987.83138963,78706646.10457718
239,2018-03-28,883.11006756,894.95807178,856.04557683,862.70860589,39747.48802326,34290499.98022887
238,2018-03-27,911.41187416,922.33715867,881.55617128,884.46317096,35830.00317354,31690318.22224638
237,2018-03-26,974.55773329,977.00842407,888.85990979,914.95495308,39747.61744374,36367279.45328675
236,2018-03-25,984.59406038,992.70022868,971.31100269,974.33386297,27335.8902387,26634283.53392678
235,2018-03-24,1024.6160187,1029.3206932,990.35267269,990.35267269,30849.38904535,30551774.89204294
234,2018-03-23,1012.16901647,1022.39443635,969.83965794,1022.39443635,37021.72429669,37850804.94483594
233,2018-03-22,1032.2452444,1062.12852432,997.55777414,1010.11969248,47271.49770386,47749870.72365509
232,2018-03-21,1058.19893948,1075.69638531,1012.54562523,1033.52693247,43864.69549514,45335344.17862824
231,2018-03-20,989.67041205,1066.33712102,956.37372921,1049.79688084,68822.43265774,72249575.13591649
230,2018-03-19,932.96495906,991.53102522,914.40120826,988.50952005,63118.66151645,62393397.80154788
229,2018-03-18,951.08335363,951.08335363,860.75679362,933.64565527,66832.79726526,62398150.79629708
228,2018-03-17,976.45861009,1025.97460417,937.33505327,952.82339426,52247.06335338,49782224.24425527
227,2018-03-16,942.56792992,1052.43095726,906.87624191,980.2905185,75449.43078043,73962361.62048776
226,2018-03-15,951.55601156,955.19164891,888.12180763,943.64121062,57385.32279123,54151155.47040335
225,2018-03-14,1055.05128398,1070.74567938,931.66592109,952.07105955,64910.6262254,61799528.68676873
224,2018-03-13,1052.90887836,1094.67739622,1005.20264779,1054.9103338,77338.10219409,81584763.20097974
223,2018-03-12,1133.25235108,1141.23558065,1024.44024018,1056.77777983,57482.8378565,60746585.76856755
222,2018-03-11,1012.07699597,1147.15486936,986.31885988,1135.00402925,63670.14630124,72265872.59489371
221,2018-03-10,1057.51024754,1080.93199232,1000.92265734,1011.7808398,43482.26741121,43994525.03755508
220,2018-03-09,1039.99027881,1062.96517198,948.16477641,1057.41087823,81081.42693919,85736382.86801799
219,2018-03-08,1095.63390536,1111.27258295,1020.85670011,1046.02791612,61248.69678538,64067846.6632223
218,2018-03-07,1198.86448394,1209.21085497,1065.79027561,1091.91912459,59561.09981141,65035903.96550962
217,2018-03-06,1268.14770678,1268.14770678,1178.31215729,1198.03872547,37210.90488759,44580105.06515826
216,2018-03-05,1278.27969423,1281.22210787,1269.38602231,1271.59064159,26467.71853422,33656103.19223474
215,2018-03-04,1265.12329451,1280.42323899,1236.23228679,1280.42323899,28151.92550487,36046379.63862144
214,2018-03-03,1275.0506655,1289.21221999,1257.88969294,1265.33008959,32216.35327831,40764321.17988471
213,2018-03-02,1282.35313557,1293.8244325,1257.36805394,1275.99211585,33931.91758476,43296859.31370062
212,2018-03-01,1205.17696642,1295.66486718,1195.51967197,1285.69657274,46673.07502197,60007412.59487908
211,2018-02-28,1240.58679251,1267.02471322,1204.1597001,1205.058159,43060.15183668,51889987.2987699
210,2018-02-27,1238.75439517,1290.40291902,1219.10420095,1246.51727305,42601.21797568,53103154.05986463
209,2018-02-26,1177.09298684,1251.61202953,1147.87692632,1238.11785106,47321.95469676,58590156.85692336
208,2018-02-25,1185.96042415,1204.82970452,1144.9635797,1176.13573726,33624.00496665,39546393.8711608
207,2018-02-24,1252.75857428,1290.4267408,1148.68513518,1185.74068363,46533.4842456,55176645.42122936
206,2018-02-23,1210.4231254,1301.29704307,1158.82051066,1259.21374376,60730.12370524,76472206.42958808
205,2018-02-22,1288.81126195,1337.33069544,1190.72213907,1209.58582487,60511.81187923,73194229.88615891
204,2018-02-21,1402.84496906,1413.00346111,1276.78870338,1289.62667263,77299.12729361,99687016.3292212
203,2018-02-20,1524.36122813,1549.1429056,1394.08981562,1402.49653985,62835.11575076,88126032.42167085
202,2018-02-19,1457.03182177,1537.85799673,1457.03182177,1526.1210176,43853.95554491,66926443.26179655
201,2018-02-18,1542.28205693,1621.65339473,1407.02145287,1463.99233388,78225.07911169,114520916.13659224
200,2018-02-17,1528.970729,1548.74147536,1509.84281704,1542.27122029,48978.34081197,75537885.45200038
199,2018-02-16,1359.71339893,1535.87505345,1357.53412572,1533.1082067,96871.07691129,148513843.0041723
198,2018-02-15,1353.89593668,1387.79065412,1317.63073159,1364.47093566,66785.4321542,91126781.09969684
197,2018-02-14,1228.34338066,1367.33763195,1228.34338066,1356.37021437,66640.17343981,90388746.33444054
196,2018-02-13,1282.81503655,1283.91559467,1212.95598331,1229.49148139,42983.14597472,52847411.81917514
195,2018-02-12,1221.63329174,1291.3278631,1221.63329174,1281.71046802,40894.16051409,52414473.61185829
194,2018-02-11,1242.68415965,1290.92617998,1198.22176583,1219.44564611,58955.59121867,71893139.02539626
193,2018-02-10,1299.23848394,1373.22390342,1205.71816461,1242.13636109,75398.6897646,93655454.1352532
192,2018-02-09,1275.21267143,1336.34351477,1189.79484471,1300.99404315,88564.91220259,115222423.20790364
191,2018-02-08,956.66268371,1333.68986657,951.93024136,1271.62205102,163928.98129776,208455707.41872203
190,2018-02-07,963.44640456,1030.97720364,896.47509609,955.22103218,81382.82040993,77738581.71375458
189,2018-02-06,888.4538479,970.8399784,764.67773413,966.88788022,159972.90289914,154675860.9766848
188,2018-02-05,1160.74587422,1172.2421489,842.28160168,890.56878586,109856.10034553,97834413.9045171
187,2018-02-04,1272.27873051,1284.13049085,1107.98887552,1162.86297346,58973.87239203,68578532.6061807
186,2018-02-03,1192.88733488,1310.1735278,1074.84333549,1269.5549242,55447.43130368,70393559.44592424
185,2018-02-02,1268.13780325,1268.13780325,980.65413801,1194.34993253,119554.29576668,142789665.08319813
184,2018-02-01,1494.36305178,1504.31382868,1209.56436297,1274.12936759,79735.05081696,101592769.87224896
183,2018-01-31,1477.47478093,1520.68451498,1424.46568245,1486.68273921,50219.01236491,74659738.86330175
182,2018-01-30,1663.47863162,1663.60722128,1470.83074529,1470.83074529,56963.45495262,83783600.90232116
181,2018-01-29,1742.44566112,1752.76431627,1648.16482586,1664.01172785,30067.6608081,50032940.21370694
180,2018-01-28,1645.47409476,1747.53495624,1645.47409476,1743.33784255,57570.63363744,100365064.23985322
179,2018-01-27,1596.74257365,1672.7056949,1570.94832628,1643.38757463,29374.84366329,48274253.08290194
178,2018-01-26,1648.67474652,1685.46003287,1510.97373927,1599.20378296,47115.54105477,75347351.49082625
177,2018-01-25,1663.41077553,1704.08855775,1621.04367102,1653.70737694,30088.9142787,49758259.5069335
176,2018-01-24,1628.78337062,1683.81243847,1578.37276398,1648.51552231,37403.70744268,61660592.31112871
175,2018-01-23,1626.47397551,1692.95755531,1511.78665,1620.70021745,51451.58502218,83387595.033393
174,2018-01-22,1789.23611143,1820.93040986,1531.53462723,1636.27066464,61470.05898038,100581654.26342247
173,2018-01-21,2039.59862489,2041.56669,1731.50747373,1776.47648649,59620.82001867,105914984.86836606
172,2018-01-20,1780.01800465,2121.23646758,1779.35574754,2041.28552763,67395.11026773,137572663.22266626
171,2018-01-19,1733.08212524,1870.43971413,1731.99298125,1774.44220736,48788.07237203,86571614.83284377
170,2018-01-18,1757.46413079,1889.65700069,1709.0592089,1744.99231755,74932.32127878,130756324.96778893
169,2018-01-17,1777.67920572,1910.24514878,1356.41004728,1752.45309825,152972.19663588,268076599.94095185
168,2018-01-16,2403.91222313,2408.07323733,1557.80493687,1792.690278,198444.68563889,355749858.6652568
167,2018-01-15,2541.68069941,2558.64385597,2377.51519952,2392.12954492,46761.2644934,111859002.352317
166,2018-01-14,2670.57444806,2723.86234594,2468.24741552,2539.40810577,44015.47720851,111773259.60272646
165,2018-01-13,2601.63991146,2858.65698345,2573.21268495,2662.58372702,63997.06219441,170397536.37591437
164,2018-01-12,2448.47081944,2634.17270558,2385.21535781,2597.02896939,54677.19152581,141998250.35747048
163,2018-01-11,2861.76452953,2953.68150926,2399.30596157,2440.56539591,129326.43818691,315629629.8156175
162,2018-01-10,2388.09083291,2940.77184915,2319.73261729,2853.00783498,155422.04470091,443420311.2595515
161,2018-01-09,2409.8827109,2483.02098602,2337.26599469,2386.59714745,50385.15170264,120249059.32729653
160,2018-01-08,2539.9004279,2563.83855576,2248.37850191,2415.06557858,68698.82713602,165912172.70514652
159,2018-01-07,2537.32164594,2749.99630047,2502.04626683,2540.21678593,66038.54641442,167752224.12008178
158,2018-01-06,2397.88043127,2639.6883031,2336.92129275,2551.64047899,65864.19006091,168061733.4752857
157,2018-01-05,2360.77013047,2499.10081934,2319.91519016,2401.23992382,67631.96320301,162400570.16950947
156,2018-01-04,2560.69324681,2560.75459589,2337.33194946,2367.95691035,66446.76928595,157343086.50139907
155,2018-01-03,2563.97476315,2777.23928081,2532.26017682,2555.99177517,51127.22584629,130680768.7505405
154,2018-01-02,2335.8958645,2677.89750967,2331.74024318,2558.98892356,69857.59608552,178764814.60961306
153,2018-01-01,2384.91107373,2407.60905833,2282.97840749,2342.56648801,27982.67231125,65551270.40142012
152,2017-12-31,2223.62343401,2487.5304796,2187.14555288,2384.72048538,46763.45648981,111517772.65820187
151,2017-12-30,2632.39644013,2637.29160456,2130.43380371,2240.3723137,73194.10474787,163982045.80337685
150,2017-12-29,2501.06054216,2852.60723641,2327.30276279,2631.90055607,87034.84871694,229067066.735763
149,2017-12-28,2721.31738877,2733.75141873,2329.67399152,2497.50025405,70102.91767597,175082054.70565534
148,2017-12-27,2928.75336383,2928.75336383,2590.84057126,2727.50382709,53305.74332062,145391618.9127753
147,2017-12-26,2761.10529369,2924.50960455,2741.58758159,2924.31852037,58073.0942204,169824224.96365887
146,2017-12-25,2813.2757649,2894.02125004,2627.97722455,2769.43815352,57916.05471803,160394931.63728023
145,2017-12-24,3023.62824713,3023.62824713,2500.15157377,2785.56867552,146915.42759102,409243013.0476606
144,2017-12-23,2533.48992263,3280.78644949,2491.80176255,2989.89452151,175145.9541764,523667928.8567826
143,2017-12-22,3081.8105037,3153.83000949,1802.23712636,2522.72993372,359611.71909543,907203248.2767651
142,2017-12-21,3720.29273286,3720.29273286,2877.35839946,3047.16052131,152521.19160214,464756553.7138398
141,2017-12-20,2675.08612087,4102.05400523,2675.08612087,3670.63973478,409087.47185034,1501612729.1735625
140,2017-12-19,2144.91810555,2819.17068079,2094.84562706,2665.25428983,238555.86236375,635812035.5297976
139,2017-12-18,1830.97515806,2299.28884571,1764.54744148,2144.98849892,174600.17459069,374515366.40648395
138,2017-12-17,1776.14794735,1891.91171568,1776.14794735,1827.22387154,49098.51706645,89713982.4408766
137,2017-12-16,1784.50356768,1852.77892624,1744.73788334,1771.53128763,51772.72341567,91716999.37676927
136,2017-12-15,1933.36634403,1933.36634403,1642.27271804,1784.30105665,92820.93724855,165620496.41160265
135,2017-12-14,1579.46568516,2049.84299221,1569.64442623,1918.70175305,201103.69978797,385858021.3273762
134,2017-12-13,1589.18247718,1679.54430091,1460.59599039,1586.02464779,106202.08053266,168439117.3712934
133,2017-12-12,1404.11141078,1610.35570385,1404.11141078,1583.95236855,93899.96103354,148733065.6856683
132,2017-12-11,1296.72084889,1420.61369065,1295.72082708,1399.34171781,56805.73668799,79490637.15860595
131,2017-12-10,1369.53178393,1369.53178393,1200.82521835,1285.43607507,59231.6800849,76138538.36825818
130,2017-12-09,1388.6122489,1470.61642684,1313.47020941,1373.28113096,67749.21002642,93038711.7665982
129,2017-12-08,1233.85235411,1543.34115274,1151.6920183,1385.43637664,175737.26798118,243472803.79269233
128,2017-12-07,1353.73899861,1353.73899861,1227.87828751,1240.28019169,106287.72141155,131826555.4866138
127,2017-12-06,1425.42953582,1457.34502402,1316.68090509,1356.65288345,74768.37882394,101434736.72252962
126,2017-12-05,1539.49026593,1578.37641028,1413.89241809,1423.7931713,67045.76045049,95459295.89407285
125,2017-12-04,1506.58315459,1543.34358994,1446.6782544,1540.89643718,59711.60111793,92009393.42103806
124,2017-12-03,1392.98568176,1621.69665217,1385.42318218,1509.48516527,114237.81688124,172440289.8953412
123,2017-12-02,1430.92082227,1456.76602375,1373.15221832,1395.38635535,36105.65015225,50381331.57339276
122,2017-12-01,1322.92621769,1450.62243164,1255.76823209,1428.45517482,94216.58793462,134584172.5888014
121,2017-11-30,1345.66529261,1415.20943327,1183.23064612,1339.22790221,121286.02821138,162429633.1289744
120,2017-11-29,1481.98204274,1631.16447648,1249.90946499,1318.15000498,244463.97455312,322240189.27478015
119,2017-11-28,1588.98384319,1589.17083017,1481.63409768,1483.13936906,98137.42175294,145551473.78020808
118,2017-11-27,1716.29030944,1716.29030944,1564.68683987,1589.30234139,105939.34662755,168369651.64041218
117,2017-11-26,1548.61470719,1751.61114918,1536.103753,1718.85545009,103872.36337643,178541577.90328494
116,2017-11-25,1621.97118562,1631.29292368,1518.90095881,1549.46446715,104841.08887804,162447541.91408044
115,2017-11-24,1656.46171654,1755.28532399,1530.32849695,1628.67913048,206493.61115365,336311835.0640012
114,2017-11-23,1299.3766988,1650.32864805,1295.69537825,1650.32864805,280881.20976775,463546307.1793617
113,2017-11-22,1173.00469927,1337.52247044,1168.81623146,1302.34617802,129067.44376585,168090492.0951511
112,2017-11-21,1245.04132821,1245.04132821,1148.23009636,1172.45121518,61671.1564204,72306422.28672679
111,2017-11-20,1175.48862024,1246.60855513,1169.77113742,1246.60855513,51313.93787186,63968393.94852021
110,2017-11-19,1247.19563812,1257.62552649,1131.98973037,1174.14756724,91398.64454448,107315496.14106868
109,2017-11-18,1177.22671156,1367.67098639,1177.22671156,1235.20347494,233082.47285142,287904280.41482127
108,2017-11-17,906.55689762,1205.01092705,865.46139299,1173.25461952,321238.61911635,376894693.84710383
107,2017-11-16,1187.33150334,1193.9431489,876.24796366,899.46120289,291234.31360498,261953966.03751585
106,2017-11-15,1258.05277657,1321.48642693,1173.36501321,1188.77607484,119008.23889752,141474147.11047366
